Date,Weekly Mean Price,Weekly Max Price
2022-09-07,89.11428571428573,97.4
2022-09-08,87.20571428571428,92.08
2022-09-09,86.51857142857143,90.09
2022-09-12,86.24571428571429,88.18
2022-09-13,86.35285714285715,88.18
2022-09-14,86.58,88.88
2022-09-15,86.34714285714287,88.88
2022-09-16,86.78571428571429,88.88
2022-09-19,87.08714285714287,88.88
2022-09-20,86.71857142857142,88.88
2022-09-21,86.03285714285713,88.88
2022-09-22,85.48714285714284,88.88
2022-09-23,84.08571428571427,86.15
2022-09-26,82.86428571428571,86.15
2022-09-27,81.91285714285713,86.15
2022-09-28,81.40714285714286,84.69
2022-09-29,80.99142857142856,84.02
2022-09-30,80.49571428571427,84.02
2022-10-03,80.49999999999999,84.05
2022-10-04,81.61428571428571,86.87
2022-10-05,83.19285714285715,88.22
2022-10-06,84.61999999999999,88.9
2022-10-07,86.11428571428571,93.07
2022-10-10,87.51714285714286,93.07
2022-10-11,88.92285714285713,93.07
2022-10-12,89.46285714285715,93.07
2022-10-13,89.85142857142857,93.07
2022-10-14,89.54857142857144,93.07
